PRD_ID,AIR_TMP,PRC_TMP,ROT_SPD,TRQ_PWR,TOOL_TM,NS_LVL
L91378,312.7,308.7,,,99,
L91379,298.4,308.6,1433,47.1,101,
L91380,310.1,308.6,1609,,103,
L91381,309.3,308.5,1575,,,
M59062,298.4,308.5,1636,35.7,107,105.5904
L91383,298.4,308.5,1490,37.9,110,
L91384,307,308.5,1741,,,
M59065,298.5,308.6,1344,53,114,
L91386,298.5,308.7,1609,35.3,117,111.4033
M59067,307.2,308.7,,,119,
L91388,298.4,308.6,1591,36.7,122,
L91389,305.5,308.6,1477,,,
L91390,309.6,,1523,36.1,,
L91391,307.7,308.7,,,128,
H73626,298.4,308.7,1344,52.9,130,102.1703
L91393,308.7,,1386,,135,
M59074,306.5,,1589,,137,
L91395,298.3,308.6,1548,40.3,140,
L91396,312,308.6,1499,,142,108.0992
L91397,312.7,308.5,1664,,,
L91398,298.3,308.6,1447,38.1,146,108.2272
M59079,307.8,308.5,,46.2,,
L91400,298.3,308.5,1416,52.7,151,
H73635,312.1,308.5,,,153,
L91402,313.2,308.6,,45,,
L91403,298.4,308.6,1569,34.4,160,
L91404,309,308.6,1584,,162,
L91405,298.3,308.5,1362,53.8,164,
L91406,307,308.4,,49.2,,
L91407,298.3,308.5,1539,36.1,168,111.2576
M59088,298.3,308.5,1629,37.1,170,107.9596
L91409,312.9,,1538,32.2,,
L91410,298.3,308.6,1570,34.8,175,99.5326
L91411,308.6,308.4,1408,,,
L91412,307,308.4,,47.6,,
L91413,298.2,308.4,1512,34.9,181,
L91414,298.2,308.4,1478,42.9,183,118.0926
M59095,311.7,308.3,,33.7,,
L91416,313.9,308.3,1495,,188,
M59097,298,308.1,1552,36.6,190,115.7398
L91418,313.3,308.1,1393,,193,
L91419,298,308.2,1611,30.6,195,
M59100,298,308.1,1339,51.6,197,
L91421,308.8,308.1,,24.3,,
L91422,298,308.2,1348,58.8,202,
L91423,309.2,308.2,1442,,204,
M59104,307.1,,1395,,206,
M59105,312.5,,1627,31.4,,
L91426,297.9,308.1,1585,33.5,212,90.4236
L91427,309.6,308.2,,45.5,,
L91428,298,308.3,1362,56.8,216,109.5727
L91429,306.1,308.3,1405,,218,
L91430,298,308.3,1662,32.7,0,106.701
M59111,310.2,,1466,,2,
L91432,307.2,308.2,1620,,5,95.779
L91433,312.3,308.2,1357,,7,98.2136
L91434,306.5,308.2,1514,,9,90.2499
L91435,298,308.2,1489,40.4,11,106.6151
L91436,298.1,308.3,1331,63,13,
L91437,298,308,1615,29.5,15,129.2366
L91438,298.1,308.2,1482,37.9,17,116.0512
M59119,298.1,308.2,1420,63.9,19,86.5487
M59120,310.4,308.3,1522,,22,
L91441,298.1,308.2,1654,32.1,25,112.4549
M59122,308.6,,1736,,27,
M59123,298,308.1,1587,32.3,30,
L91444,298.1,308.2,1390,47.5,33,86.6929
L91445,313.9,308.1,,,35,
H73680,304.7,308.1,,,37,
L91447,305.8,,1954,21.1,,
H73682,311.2,308,1800,,44,103.9407
L91449,298,308,1524,37,49,96.8191
H73684,313,,1520,,51,
M59131,298.1,308.1,1452,40.8,56,
L91452,298.1,308.1,1484,40.4,59,
L91453,309.6,308,,,61,
L91454,308.5,,1652,28.5,,
L91455,298,308,1401,54.7,65,
M59136,309.9,307.9,1750,,,
H73691,298,308,1479,50.7,70,
M59138,312,308,,29.4,,
L91459,306.2,,1819,23.4,,
M59140,298.1,308.1,1456,43.7,80,
L91461,307.7,,1626,36.5,,
M59142,313.2,308.1,,,85,
L91463,312.6,,1469,43,,
L91464,298.2,308.3,2051,19.2,90,123.6066
L91465,298.2,308.3,1568,36,92,117.1908
L91466,298.2,308.3,1589,33.2,94,99.2619
L91467,307.2,308.3,1805,,,
H73702,306.2,,1385,,98,
L91469,308.3,308.4,1436,,103,86.2354
L91470,308.6,308.4,,,105,
L91471,305.2,308.3,,42.6,,
L91472,304.8,,1335,,109,
H73707,298.1,308.5,1392,44.8,111,103.0034
M59154,308.4,308.5,,51.1,,
M59155,298.1,308.6,1716,30.7,119,113.9271
L91476,308.2,,1395,46.2,,
L91477,312.7,308.5,,25.3,,
H73712,297.9,308.5,2129,18.7,126,143.9602
M59159,307.7,,1567,35.6,,
L91480,297.8,308.4,1622,38.3,134,
L91481,308.8,308.4,,27.1,,
H73716,297.8,308.4,1512,35.1,138,
M59163,297.8,308.4,1479,43.5,143,
L91484,313.6,,1737,,146,
L91485,306.1,308.4,,,148,
L91486,305.2,308.4,,47.1,,
M59167,297.8,308.4,1579,36.6,152,
L91488,312,308.5,,,155,
M59169,310,308.5,,,157,
H73724,307.3,308.6,1526,,160,
M59171,298,308.6,1453,44.1,165,114.3399
L91492,306.8,308.6,1468,,,
L91493,306.6,308.6,,,170,
M59174,312.2,308.5,,,172,
L91495,297.9,308.4,1646,40.6,175,
L91496,310.9,308.4,,,177,
L91497,297.8,308.4,1685,28.4,179,
L91498,309.6,,1512,39.9,,
L91499,297.8,308.4,1612,32.1,183,111.3408
H73734,306.6,308.4,1550,,,
L91501,297.8,308.4,1518,32.5,190,102.0129
L91502,309.8,308.5,,40,,
L91503,310.2,308.5,,46.3,,
M59184,313.5,,1488,,196,
L91505,297.8,308.5,1699,27.8,199,
L91506,308,308.5,1501,,201,92.032
L91507,297.7,308.5,1373,56.7,203,104.2196
H73742,297.6,308.4,1703,31.4,205,
H73743,308.6,308.5,1720,,,
M59190,310.8,308.4,1398,,,
M59191,297.6,308.4,1391,51.9,218,
M59192,297.6,308.3,1538,40.2,0,96.029
L91513,297.5,308.2,1647,31.3,3,103.3932
M59194,312.8,,1469,44.8,,
L91515,297.4,308.1,1749,25.9,8,
M59196,297.6,308.2,1995,20.5,10,102.526
L91517,307.7,,1742,,13,
L91518,312.7,,1563,38.2,,
M59199,297.5,308.2,1713,32.2,17,89.4501
L91520,311,,1474,,20,
M59201,297.4,308.2,1530,32.6,22,115.4001
L91522,308.7,308.2,,,25,
L91523,297.5,308.3,1388,48.6,27,
M59204,304.2,308.2,2448,,29,132.9481
L91525,297.5,308.3,1585,32.9,32,99.6309
M59206,310.6,308.3,,45.2,,
L91527,297.5,308.3,1544,40.8,37,77.9491
L91528,305.3,308.3,,,39,
L91529,312.5,,1595,34.3,,
H73764,297.6,308.3,1400,44.3,43,
M59211,306.5,308.4,1611,,48,111.2725
M59212,307.8,308.4,,46,,
H73767,297.5,308.3,1674,30,54,103.2806
L91534,304.6,308.3,,,59,
L91535,297.6,308.3,1623,36.9,61,
M59216,297.6,308.4,1398,48.9,63,
L91537,297.6,308.4,1517,34.2,66,
M59218,297.6,308.3,1467,36.7,68,108.9976
M59219,297.6,308.3,1567,34.6,71,90.463
M59220,297.5,308.3,1521,38.2,74,
L91541,306.8,308.3,1596,,,
H73776,297.6,308.3,1640,30.9,79,107.8688
L91543,308,,1438,47.8,,
L91544,312.7,,1407,55.2,,
L91545,310.4,308.4,1353,,,
M59226,297.6,308.5,1552,40.9,90,110.5515
M59227,297.6,308.4,1569,38.3,93,110.5486
L91548,297.5,308.4,1489,39.5,96,
H73783,311.8,308.4,1587,,,
M59230,304.4,308.3,,,103,
L91551,297.5,308.4,1604,38.1,106,
M59232,313.4,308.3,1405,,,
L91553,309.5,308.3,,42,,
L91554,304.4,308.3,,43,,
L91555,306,308.2,1533,,115,103.7554
M59236,297.4,308.2,1401,51.9,117,101.5284
M59237,297.4,308.2,1424,53.9,120,108.9986
L91558,297.3,308.2,1754,29.4,123,122.0268
L91559,297.3,308.2,1754,26.8,125,99.5251
L91560,297.5,308.3,2564,12.8,127,137.9915
L91561,297.5,308.5,1546,40.4,129,110.3947
L91562,312.2,308.5,,48,,
M59243,297.5,308.6,1842,27,133,
L91564,310.7,308.5,1712,,136,
M59245,306.6,308.6,,,138,
L91566,307.6,308.7,1319,,,
L91567,313.5,308.7,1249,,143,
L91568,305.3,308.7,1455,,145,108.829
M59249,312.7,308.7,,,147,
L91570,312.8,,1460,46.7,,
L91571,297.6,308.6,1491,38.1,152,126.2612
M59252,309.4,308.5,1490,,,
M59253,307.3,,1350,,157,
L91574,297.5,308.4,1528,39.9,160,
L91575,307.1,308.3,1571,,,
L91576,306.9,,1490,,164,
M59257,309.3,,1774,28.9,,
H73812,309.4,,1502,43.6,,
L91579,313.3,308.4,,,174,
L91580,297.4,308.5,2100,16.9,176,
L91581,310.2,308.5,1722,,178,106.9106
L91582,312.1,308.6,,32.3,,
L91583,297.3,308.6,1273,59.8,182,
L91584,297.3,308.6,1297,45.9,184,108.1407
L91585,312.7,308.5,1350,,186,111.2317
L91586,313.2,,1439,51.9,,
M59267,308.4,,1600,,190,
M59268,308.6,308.6,,,193,
L91589,297.4,308.6,1459,41.3,196,
M59270,297.5,308.6,1472,44.9,198,98.281
L91591,310.9,308.7,1429,,201,
L91592,306.4,308.6,1388,,,
L91593,305.2,,1573,,205,
L91594,297.4,308.4,1588,32.5,207,113.48
L91595,308.7,,1511,,209,
L91596,314,308.5,,37.8,,
L91597,297.4,308.4,1394,50.1,213,121.3136
L91598,309.2,,2151,,0,
M59279,297.3,308.3,1501,38.2,2,
M59280,311.3,308.3,,39.6,,
M59281,297.3,308.3,1657,31.1,8,
L91602,305.4,308.3,1333,,11,
L91603,297.3,308.3,1484,43.9,13,108.9827
L91604,311.8,308.4,,,15,
M59285,297.3,308.4,1665,28.9,17,114.9413
L91606,311.4,308.5,1501,,,
M59287,304,308.5,1496,,,
M59288,297.6,308.6,1595,36.9,25,
L91609,310.6,308.6,1208,,28,85.4183
L91610,311.5,308.6,,,30,
L91611,297.5,308.5,1446,41.9,32,109.0079
M59292,305.2,,1466,39.7,,
M59293,310.7,308.5,,,37,
M59294,297.5,308.5,1484,44.7,40,117.6873
L91615,297.4,308.3,1493,41.2,43,110.7603
L91616,297.3,308.3,1504,36.3,45,95.8258
L91617,297.3,308.3,1538,38.5,47,93.6343
L91618,297.4,308.4,1341,52.2,49,85.7577
M59299,304.3,,1535,34.6,,
L91620,311.5,,1389,39.2,,
H73855,297.5,308.5,1393,46.6,56,96.4729
L91622,309.9,308.5,,61.5,,
H73857,297.4,308.5,1469,45.1,63,114.4806
L91624,297.4,308.4,1582,37.2,68,
L91625,311.6,308.6,,,70,
L91626,297.5,308.6,1452,39,72,
M59307,311.5,308.7,,59.9,,
L91628,297.5,308.6,1552,44.9,77,95.6569
L91629,308.8,,1622,37.9,,
M59310,305.6,308.7,1419,,81,90.5726
H73865,297.5,308.6,1440,46.1,84,
M59312,306.6,308.6,,,89,
L91633,309.1,308.7,1510,,92,
L91634,297.4,308.7,1468,46.6,94,
L91635,297.4,308.7,1429,57.4,96,90.0976
H73870,312.6,,1478,47.6,,
L91637,312.9,308.6,1276,,,
L91638,297.3,308.6,1486,42.6,105,110.0502
L91639,307.6,308.6,,,107,
H73874,311.3,,1431,42,,
L91641,297.4,308.7,1402,40.2,114,
L91642,309.5,,1433,,116,
L91643,309.1,308.7,,4.2,,
L91644,297.3,308.6,1511,35.7,120,118.3415
M59325,297.3,308.6,1456,42.9,122,
L91646,297.2,308.5,1550,41.5,125,120.3084
L91647,313.2,,2182,,127,
L91648,312.1,308.7,,,129,
M59329,297.3,308.8,1586,32.7,131,
H73884,308.9,308.8,,44.2,,
H73885,297.3,308.8,1419,42.4,139,98.4788
M59332,297.4,309,1497,41.8,144,
M59333,311,,1520,,147,
L91654,297.4,309.1,1478,49.8,150,
L91655,297.4,309.1,1380,41.1,152,95.5222
L91656,311.9,309,,,154,
H73891,297.4,309,1468,41.4,156,
L91658,297.4,309,1833,22.6,161,113.7149
M59339,304.4,308.9,,57.3,,
L91660,297.4,309,1583,32,166,
M59341,297.3,309,1556,39.5,168,113.5371
L91662,306.6,309,1548,,171,110.3035
L91663,297.4,309,1324,56.9,173,117.1902
L91664,297.4,309,1568,33.7,175,92.6472
M59345,308.3,309,1685,,,
M59346,313.1,309.1,1582,,,
M59347,312.8,,1463,35,,
L91668,297.4,309.2,1584,42.8,186,
M59349,297.5,309.2,1347,55.8,188,
L91670,310.9,309.2,,37.9,,
L91671,297.4,309.2,1420,45.6,193,101.06
L91672,308.3,,1404,43.5,,
L91673,306.7,,1470,,197,
L91674,309.6,309.4,1326,,199,
H73909,297.5,309.3,1459,49.7,201,132.1522
M59356,297.5,309.2,1530,40,206,118.7523
L91677,297.4,309,1505,39.2,209,
L91678,297.5,309.1,1611,30.2,211,
L91679,310,,1515,35.1,,
M59360,297.5,309.2,1804,27.4,215,
M59361,297.6,309.3,1464,46.2,218,105.2266
L91682,309.8,309.2,,,221,
M59363,313.9,309.2,,48.1,,
M59364,297.6,309.3,1529,41.9,3,88.6415
L91685,308.1,,1610,35,,
L91686,307.8,309.3,1543,,,
H73921,311.7,309.4,1445,,,
L91688,305.1,309.3,1893,,,
M59369,304.1,309.3,1415,,17,
L91690,297.5,309.3,1564,37.5,20,90.4792
L91691,311.6,309.3,1479,,22,
L91692,307.4,309.2,1426,,,
L91693,297.4,309.2,1428,38.8,26,113.949
L91694,305.6,,1620,33.2,,
L91695,304.5,309.2,,,30,
L91696,297.5,309.3,1732,29.9,32,128.8705
M59377,297.5,309.4,1391,58.2,34,97.4091
L91698,310.5,,1924,,37,
M59379,297.7,309.5,2027,19.8,39,
L91700,309.2,,1617,,42,
L91701,312.8,309.4,,,44,
M59382,312.4,309.5,1448,,,
L91703,308.8,309.4,,,49,
L91704,310.4,,1620,,51,
L91705,297.4,309.4,1466,45.5,53,101.2255
L91706,306.7,,1373,,55,
M59387,304.9,309.6,1592,,57,99.5544
M59388,306.4,309.5,,,60,
L91709,297.6,309.5,1569,36.2,63,81.2213
M59390,311.4,,1709,32.2,,
L91711,297.6,309.5,1549,34.9,68,117.3352
L91712,309.9,309.4,,45.4,,
L91713,297.5,309.3,1675,29.8,72,91.2925
L91714,297.5,309.3,1623,33.4,74,119.247
H73949,297.4,309.3,1365,52.4,76,
L91716,307.2,309.3,,,81,
H73951,304.1,309.3,,43,,
M59398,308.2,,1499,,88,
M59399,310.8,,1775,25.8,,
L91720,297.4,309.4,1473,45.5,94,98.0408
L91721,305.5,309.4,,52.3,,
L91722,305.2,,1803,,98,
H73957,297.5,309.3,1563,36.1,100,114.675
M59404,307.5,309.4,1831,,105,93.4128
L91725,313.2,309.4,1958,,,
L91726,307.5,,1809,,110,
M59407,297.5,309.4,1482,39.3,112,107.2843
L91728,297.4,309.3,1332,53.2,115,115.7156
L91729,306.6,309.2,,,117,
L91730,305.8,309.2,,,119,
L91731,307.2,,1274,,121,
M59412,297.4,309.3,1622,35,123,107.2611
M59413,312.9,309.3,,36,,
H73968,312,309.4,,,129,
M59415,310.1,309.4,1539,,134,
L91736,310.6,309.4,,,137,
M59417,297.5,309.4,1433,48.3,139,
L91738,297.5,309.4,1650,34.6,142,119.4842
L91739,310.4,,1503,40.6,,
L91740,297.5,309.4,1318,58.2,146,
M59421,306.1,309.4,1678,,148,104.1231
L91742,297.6,309.5,1574,30.9,151,114.7291
L91743,297.7,309.6,1529,35.2,153,
H73978,297.6,309.6,1669,32.1,155,110.7862
H73979,297.7,309.7,1570,35.8,160,105.8762
M59426,310.2,,1541,33.7,,
M59427,297.7,309.7,1680,30.2,168,
L91748,297.8,309.7,1935,22.1,171,
M59429,297.7,309.6,1596,35.2,173,104.1612
L91750,313.5,,1498,41,,
M59431,297.8,309.8,1676,29,178,
L91752,297.8,309.9,1351,49,181,
L91753,310.1,309.9,1472,,183,113.2239
M59434,309,310,,41.7,,
M59435,310.2,,1410,,188,
H73990,297.7,309.7,1440,51.1,191,108.0197
L91757,297.7,309.7,1591,37.7,196,
L91758,297.8,309.8,1533,36.8,198,
M59439,297.8,309.7,1700,31.3,200,
M59440,297.8,309.8,1798,25.5,203,
L91761,312,309.7,,42.9,,
L91762,311.2,309.7,,,208,
H73997,304.7,,1697,,210,
H73998,297.6,309.6,1419,48.2,215,112.3571
L91765,297.6,309.5,2001,20.5,220,
L91766,306.3,,1501,,222,
H74001,297.6,309.5,1623,33.1,224,151.8232
L91768,297.6,309.4,1628,33.4,229,126.715
L91769,310.3,,1491,,231,
L91770,309.1,,1517,36.7,,
H74005,310.5,,1525,,235,
H74006,309.8,309.5,,,240,
L91773,297.5,309.6,1312,50.7,0,
H74008,297.6,309.6,1278,50.4,2,106.2338
M59455,297.6,309.6,1330,53.1,7,
M59456,297.6,309.6,1530,37.3,10,79.1107
H74011,313.4,,1428,46.6,,
L91778,297.7,309.6,1480,47.9,18,92.8747
H74013,297.7,309.7,1616,31.1,20,87.2941
L91780,297.8,309.7,1547,37.3,25,100.4311
L91781,305.7,309.7,2194,,27,
L91782,297.9,309.8,2000,21.3,29,
L91783,309,,1336,,31,
L91784,312.2,309.9,,33.8,,
M59465,307.7,,1693,,35,
L91786,313.8,,1461,,38,
M59467,298,309.9,1565,33.9,40,
L91788,298,309.9,1403,47.7,43,
L91789,298.1,309.9,1629,32.5,45,
L91790,311.7,310,,,47,
L91791,305.6,310,1553,,49,92.6422
L91792,305,,1563,,51,
L91793,298.1,309.9,1634,30,53,
M59474,298,309.9,1445,45.2,55,99.2042
L91795,298.1,309.9,1642,30.4,58,
H74030,298.1,309.9,1686,29.1,60,
M59477,298.1,310,1393,43.1,65,
H74032,298.2,310,1433,44.2,68,
L91799,308.3,310,,,73,
M59480,298.3,310.1,1389,49.6,75,110.9029
L91801,313.1,310.1,1408,,78,80.0839
M59482,310.9,,1725,32,,
L91803,298.4,310.1,1926,23.7,83,125.6864
H74038,298.3,310.1,1509,37.6,85,112.5763
L91805,298.3,310.1,1545,36.3,90,141.0323
L91806,311.6,,1533,,92,
L91807,308.3,,1455,,94,
M59488,310.7,310.1,1335,,96,102.5529
L91809,298.3,310.1,1523,45.9,99,
L91810,309.1,310,,,101,
L91811,298.4,310,1554,37.3,103,112.822
H74046,308.6,310,,,105,
L91813,304.6,310,,,110,
L91814,308.4,309.9,,,112,
L91815,310.9,310,1858,,114,
L91816,304.3,,1463,,116,
L91817,298.2,309.7,1585,37.4,118,
L91818,310.1,309.6,,37.3,,
L91819,312.1,309.6,1403,,122,104.2654
M59500,297.9,309.6,1515,38.8,124,109.038
L91821,297.9,309.5,1390,47.9,127,
M59502,304.3,309.4,,58.7,,
M59503,312.5,309.4,,36.5,,
H74058,310.4,,1608,30.2,,
L91825,297.7,309.4,1392,44.1,140,105.869
M59506,304.1,309.4,,,142,
L91827,297.7,309.3,1559,36.9,145,125.7977
H74062,297.7,309.3,1400,48.9,147,130.1235
M59509,311.1,309.2,1732,,152,
L91830,297.6,309.2,1611,33.1,155,
L91831,297.6,309.1,1503,38.9,157,
L91832,297.7,309.2,1391,44.5,159,
L91833,306.6,309.3,,20.1,,
L91834,306.2,309.2,1683,,163,113.0376
L91835,311.4,,1435,,165,
M59516,311,309.1,1732,,,
L91837,297.7,309.2,1365,58.6,170,109.9371
L91838,297.7,309.1,1562,36.8,172,118.8858
L91839,308.9,,1449,49.1,,
M59520,297.7,309.2,1700,27.4,176,113.267
M59521,309.3,309,,45.6,,
M59522,306,308.9,1479,,,
L91843,297.5,308.9,1469,44,185,
L91844,297.5,308.9,1390,47.4,187,107.1244
L91845,307.6,308.9,,28.1,,
L91846,297.5,309,1470,43.5,191,
L91847,297.5,308.9,1459,48.5,193,105.4515
L91848,297.5,308.9,1738,24,195,114.218
H74083,309.7,308.9,1471,,197,108.465
L91850,312.3,309,,,202,
L91851,313.4,308.9,,34.8,,
M59532,297.6,308.9,1433,43.2,206,115.6055
